player_id,avg_rating,rating_band,n_games,anomaly_votes,ensemble_confident,top_feature_1,z_score_1,explanation_1,confident_1,top_feature_2,z_score_2,explanation_2,confident_2,top_feature_3,z_score_3,explanation_3,confident_3,summary
KJ9,1784.0,1600-1800,46,3,True,avg_acpl_opening_band_z,-0.96,Opening ACPL is unusually low for their rating band — could reflect strong opening preparation rather than engine use; weaker signal than middlegame ACPL,False,best_move_rate_band_z,0.82,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,underdog_win_rate,0.66,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,"Flagged primarily due to: best move rate (band-normalised), underdog win rate. All 3 voters agreed."
KostandinR,2011.0,2000-2200,29,2,False,performance_vs_actual,1.22,Empirical performance rating is significantly higher than their official Elo — they play measurably better than their registered rating suggests,True,acpl_phase_gap_band_z,0.96,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,blunder_rate,-0.8,Unusually few blunders — engines almost never drop pieces or miss tactics; blunder rate is roughly Elo-independent so this is meaningful at any rating,True,"Flagged primarily due to: performance vs actual, acpl phase gap (band-normalised). 2 of 3 voters agreed."
VLADIMIR007,1869.0,1800-2000,27,3,True,acpl_phase_gap_band_z,2.48,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,acpl_consistency_band_z,-0.79,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,victory_efficiency,-0.62,Unusual game outcome efficiency — flagged by the model; interpretation is not straightforward,False,"Flagged primarily due to: acpl phase gap (band-normalised), acpl consistency (band-normalised). All 3 voters agreed."
bianca2107,1933.0,1800-2000,29,2,False,best_move_rate_band_z,1.48,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,underdog_win_rate,0.88,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,rating_gain,0.87,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,"Flagged primarily due to: best move rate (band-normalised), underdog win rate. 2 of 3 voters agreed."
Empecinado82,1308.0,1200-1400,20,2,False,underdog_win_rate,3.38,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,opening_ply_ratio,3.37,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,victory_efficiency,2.92,Unusual game outcome efficiency — flagged by the model; interpretation is not straightforward,False,Flagged primarily due to: underdog win rate. 2 of 3 voters agreed.
zestos,2299.0,2200+,24,3,True,acpl_phase_gap_band_z,1.45,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,avg_acpl_middlegame_band_z,-1.29,Middlegame ACPL is unusually low for their rating band — the middlegame is where engine assistance matters most; human players naturally make more mistakes in complex positions,True,opening_ply_ratio,-1.11,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,"Flagged primarily due to: acpl phase gap (band-normalised), avg acpl middlegame (band-normalised). All 3 voters agreed."
rocchi,2235.0,2200+,40,2,False,underdog_win_rate,2.62,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,win_rate,1.39,"Win rate is unusually high — in a stable Elo system win rates converge toward ~50%, so sustained deviation is notable",False,opening_ply_ratio,-0.79,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,Flagged primarily due to: underdog win rate. 2 of 3 voters agreed.
devapriyan,1874.0,1800-2000,22,2,False,underdog_win_rate,2.51,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,best_move_rate_band_z,2.25,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,acpl_phase_gap_band_z,1.37,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,"Flagged primarily due to: underdog win rate, best move rate (band-normalised). 2 of 3 voters agreed."
Pasukaru,1331.0,1200-1400,21,3,True,underdog_win_rate,3.38,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,comeback_rate,2.68,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,rating_volatility,2.11,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,"Flagged primarily due to: underdog win rate, comeback rate. All 3 voters agreed."
vladkas23,1326.0,1200-1400,27,2,False,opening_ply_ratio,0.72,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,avg_turns,0.48,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,avg_acpl_opening_band_z,-0.41,Opening ACPL is unusually low for their rating band — could reflect strong opening preparation rather than engine use; weaker signal than middlegame ACPL,False,Flagged by statistical model — top deviating features are not directly interpretable as cheating signals. Warrants human review.
jeanclaudedusse,1878.0,1800-2000,18,2,False,avg_acpl_endgame_band_z,-0.71,Endgame ACPL is unusually low for their rating band — engines play endgames with near-perfect technique,True,victory_efficiency,-0.47,Unusual game outcome efficiency — flagged by the model; interpretation is not straightforward,False,avg_turns,-0.45,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,Flagged primarily due to: avg acpl endgame (band-normalised). 2 of 3 voters agreed.
Luis_Albania,1762.0,1600-1800,17,3,True,rating_gain,2.24,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_volatility,1.9,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,comeback_rate,1.07,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,"Flagged primarily due to: rating gain, rating volatility. All 3 voters agreed."
hajian,1936.0,1800-2000,16,2,False,underdog_win_rate,2.51,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,avg_acpl_endgame_band_z,-0.35,Endgame ACPL is unusually low for their rating band — engines play endgames with near-perfect technique,True,opening_ply_ratio,-0.33,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,"Flagged primarily due to: underdog win rate, avg acpl endgame (band-normalised). 2 of 3 voters agreed."
Aproximo,1750.0,1600-1800,24,2,False,best_move_rate_band_z,2.09,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,acpl_consistency_band_z,-0.83,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,avg_acpl_opening_band_z,-0.59,Opening ACPL is unusually low for their rating band — could reflect strong opening preparation rather than engine use; weaker signal than middlegame ACPL,False,"Flagged primarily due to: best move rate (band-normalised), acpl consistency (band-normalised). 2 of 3 voters agreed."
oddymustafa,2232.0,2200+,33,3,True,rating_gain,4.99,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_gain_rate,3.31,Gaining Elo at an unusually fast rate — legitimate improvement of 3-5 Elo/day is already rare; rates above 10 Elo/day sustained over weeks are essentially impossible without engine assistance,True,rating_volatility,2.04,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,"Flagged primarily due to: rating gain, rating gain rate. All 3 voters agreed."
artem555,1182.0,1000-1200,26,2,False,comeback_rate,1.48,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,performance_vs_actual,1.41,Empirical performance rating is significantly higher than their official Elo — they play measurably better than their registered rating suggests,True,avg_acpl_middlegame_band_z,-1.23,Middlegame ACPL is unusually low for their rating band — the middlegame is where engine assistance matters most; human players naturally make more mistakes in complex positions,True,"Flagged primarily due to: comeback rate, performance vs actual. 2 of 3 voters agreed."
Petro947,1892.0,1800-2000,66,2,False,underdog_win_rate,0.88,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,opening_ply_ratio,-0.77,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,avg_turns,-0.69,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,Flagged primarily due to: underdog win rate. 2 of 3 voters agreed.
Angellina-1983,2081.0,2000-2200,19,2,False,underdog_win_rate,2.45,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,rating_volatility,2.1,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,acpl_consistency_band_z,-0.9,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,"Flagged primarily due to: underdog win rate, rating volatility. 2 of 3 voters agreed."
Viktor798697,1867.0,1800-2000,99,2,False,rating_volatility,4.11,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,timeout_loss_rate,-0.78,Rarely or never loses on time — engine users respond instantly and never run out of clock; a zero timeout-loss rate at any rating level is a supporting signal,False,avg_turns,-0.52,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,Flagged primarily due to: rating volatility. 2 of 3 voters agreed.
sajjad_asna,1465.0,1400-1600,29,2,False,best_move_rate_band_z,1.42,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,underdog_win_rate,1.4,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,acpl_consistency_band_z,-1.1,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,"Flagged primarily due to: best move rate (band-normalised), underdog win rate. 2 of 3 voters agreed."
Didier28,1239.0,1200-1400,31,2,False,avg_acpl_opening_band_z,-0.83,Opening ACPL is unusually low for their rating band — could reflect strong opening preparation rather than engine use; weaker signal than middlegame ACPL,False,avg_turns,-0.5,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,opening_ply_ratio,-0.5,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,Flagged by statistical model — top deviating features are not directly interpretable as cheating signals. Warrants human review.
SERJ0,1855.0,1800-2000,16,3,True,rating_gain_rate,5.13,Gaining Elo at an unusually fast rate — legitimate improvement of 3-5 Elo/day is already rare; rates above 10 Elo/day sustained over weeks are essentially impossible without engine assistance,True,underdog_win_rate,2.51,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,rating_gain,1.49,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,"Flagged primarily due to: rating gain rate, underdog win rate. All 3 voters agreed."
Vivelesechecsfr,1882.0,1800-2000,35,2,False,acpl_consistency_band_z,-1.21,"Move quality is unusually consistent across games for their rating band — humans have good days and bad days; an engine plays at the same level every game regardless of tiredness, preparation, or time pressure. Suspiciously low game-to-game ACPL variance relative to peers at the same Elo.",True,comeback_rate,1.09,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,opening_ply_ratio,-0.64,Unusual opening depth relative to rating — flagged by the model; not a strong standalone cheating signal,False,"Flagged primarily due to: acpl consistency (band-normalised), comeback rate. 2 of 3 voters agreed."
ChiaranZ,1115.0,1000-1200,19,3,True,rating_volatility,4.7,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,win_rate_vs_expected,1.53,Consistently outperforms their Elo prediction — wins more games than the rating system expects given their opponents,True,performance_vs_actual,1.49,Empirical performance rating is significantly higher than their official Elo — they play measurably better than their registered rating suggests,True,"Flagged primarily due to: rating volatility, win rate vs expected. All 3 voters agreed."
mastermike,1534.0,1400-1600,16,2,False,best_move_rate_band_z,2.05,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,avg_weighted_acpl_band_z,-1.29,"Complexity-weighted ACPL is unusually low for their rating band — this metric down-weights moves in already-won or lost positions and focuses on equal, contested positions where mistakes are most costly. A suspiciously low value means near-engine accuracy precisely when the position is hardest to play — the clearest sign of engine use.",True,blunder_rate,-1.04,Unusually few blunders — engines almost never drop pieces or miss tactics; blunder rate is roughly Elo-independent so this is meaningful at any rating,True,"Flagged primarily due to: best move rate (band-normalised), avg weighted acpl (band-normalised). 2 of 3 voters agreed."
adamsuga,1339.0,1200-1400,27,2,False,timeout_loss_rate,-0.86,Rarely or never loses on time — engine users respond instantly and never run out of clock; a zero timeout-loss rate at any rating level is a supporting signal,False,avg_acpl_endgame_band_z,-0.71,Endgame ACPL is unusually low for their rating band — engines play endgames with near-perfect technique,True,rating_gain,0.64,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,"Flagged primarily due to: avg acpl endgame (band-normalised), rating gain. 2 of 3 voters agreed."
Cassuc,1662.0,1600-1800,72,2,False,best_move_rate_band_z,1.97,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,blunder_rate,-0.9,Unusually few blunders — engines almost never drop pieces or miss tactics; blunder rate is roughly Elo-independent so this is meaningful at any rating,True,rating_gain,0.72,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,"Flagged primarily due to: best move rate (band-normalised), blunder rate. 2 of 3 voters agreed."
JoniBeckster,1905.0,1800-2000,22,2,False,underdog_win_rate,2.51,Wins against much stronger opponents (100+ Elo higher) at an unusual rate — for a human this is statistically improbable over many games,True,rating_gain,2.32,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_gain_rate,1.44,Gaining Elo at an unusually fast rate — legitimate improvement of 3-5 Elo/day is already rare; rates above 10 Elo/day sustained over weeks are essentially impossible without engine assistance,True,"Flagged primarily due to: underdog win rate, rating gain. 2 of 3 voters agreed."
Sleepingsun,2363.0,2200+,26,2,False,comeback_rate,2.96,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,best_move_rate_band_z,2.96,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,blunder_rate,-1.31,Unusually few blunders — engines almost never drop pieces or miss tactics; blunder rate is roughly Elo-independent so this is meaningful at any rating,True,"Flagged primarily due to: comeback rate, best move rate (band-normalised). 2 of 3 voters agreed."
samypandy,1184.0,1000-1200,20,2,False,best_move_rate_band_z,0.96,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,rating_volatility,0.85,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,avg_acpl_endgame_band_z,-0.77,Endgame ACPL is unusually low for their rating band — engines play endgames with near-perfect technique,True,"Flagged primarily due to: best move rate (band-normalised), rating volatility. 2 of 3 voters agreed."
ejectionseat,1705.0,1600-1800,16,2,False,avg_weighted_acpl_band_z,-0.77,"Complexity-weighted ACPL is unusually low for their rating band — this metric down-weights moves in already-won or lost positions and focuses on equal, contested positions where mistakes are most costly. A suspiciously low value means near-engine accuracy precisely when the position is hardest to play — the clearest sign of engine use.",True,blunder_rate,-0.57,Unusually few blunders — engines almost never drop pieces or miss tactics; blunder rate is roughly Elo-independent so this is meaningful at any rating,True,rating_volatility,0.49,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,"Flagged primarily due to: avg weighted acpl (band-normalised), blunder rate. 2 of 3 voters agreed."
JuraWysocki,1323.0,1200-1400,18,2,False,best_move_rate_band_z,1.79,Finds optimal moves at an unusually high rate for their rating band — engines consistently find the best move; humans at this Elo don't,True,victory_efficiency,0.89,Unusual game outcome efficiency — flagged by the model; interpretation is not straightforward,False,avg_turns,0.83,Unusual game length distribution — flagged by the statistical model but no single clear interpretation,False,Flagged primarily due to: best move rate (band-normalised). 2 of 3 voters agreed.
espector,1634.0,1600-1800,15,2,False,rating_gain,2.04,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_gain_rate,1.16,Gaining Elo at an unusually fast rate — legitimate improvement of 3-5 Elo/day is already rare; rates above 10 Elo/day sustained over weeks are essentially impossible without engine assistance,True,rating_volatility,0.84,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,"Flagged primarily due to: rating gain, rating gain rate. 2 of 3 voters agreed."
SAEEDALIRAQ,1884.0,1800-2000,26,2,False,comeback_rate,1.09,Escapes clearly losing positions (eval < -1.5 pawns) at an unusual rate — this is extremely hard for humans but routine for engines,True,acpl_phase_gap_band_z,0.87,"Large gap between opening and middlegame accuracy — plays at roughly human level in the opening, then dramatically better in the middlegame; consistent with turning on an engine once the position moves beyond memorised theory",True,avg_acpl_middlegame_band_z,-0.75,Middlegame ACPL is unusually low for their rating band — the middlegame is where engine assistance matters most; human players naturally make more mistakes in complex positions,True,"Flagged primarily due to: comeback rate, acpl phase gap (band-normalised). 2 of 3 voters agreed."
DJEMALOQUOU,1895.0,1800-2000,15,2,False,rating_gain,3.49,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,rating_volatility,2.21,Rating changes erratically — could indicate sandbagging (deliberately losing to lower rating) or a new account climbing quickly,True,win_rate_vs_expected,1.52,Consistently outperforms their Elo prediction — wins more games than the rating system expects given their opponents,True,"Flagged primarily due to: rating gain, rating volatility. 2 of 3 voters agreed."
SydBZH,1463.0,1400-1600,15,2,False,rating_gain,2.28,Large total Elo gain over the observed period — a jump of 300+ Elo in a single month far exceeds normal human improvement rates regardless of experience level,True,win_rate_vs_expected,1.13,Consistently outperforms their Elo prediction — wins more games than the rating system expects given their opponents,True,performance_vs_actual,0.99,Empirical performance rating is significantly higher than their official Elo — they play measurably better than their registered rating suggests,True,"Flagged primarily due to: rating gain, win rate vs expected. 2 of 3 voters agreed."
Mixere,1655.0,1600-1800,16,2,False,performance_vs_actual,1.61,Empirical performance rating is significantly higher than their official Elo — they play measurably better than their registered rating suggests,True,win_rate_vs_expected,1.21,Consistently outperforms their Elo prediction — wins more games than the rating system expects given their opponents,True,avg_acpl_opening_band_z,-1.07,Opening ACPL is unusually low for their rating band — could reflect strong opening preparation rather than engine use; weaker signal than middlegame ACPL,False,"Flagged primarily due to: performance vs actual, win rate vs expected. 2 of 3 voters agreed."
